pair_id,fighter_a,fighter_a_ru,fighter_b,fighter_b_ru,wins_a,wins_b,games,wr_a_pct,wr_b_pct,conditions
1,Adjenna,Адженна,Aria,Ария,2,2,4,50.0,50.0,P2 beta bases; both beta bases; standard
2,Alexian,Алексиан,César,Сезар,2,2,4,50.0,50.0,P2 beta bases; both beta bases; standard
3,Byron,Байрон,Kajia,Каджия,2,2,4,50.0,50.0,P2 beta bases; both beta bases; standard
4,Clinhyde,Клинхайд,Eligor,Элигор,2,2,4,50.0,50.0,P2 beta bases; both beta bases; standard
5,Karin,Карин,Rexan,Рексан,2,2,4,50.0,50.0,P2 beta bases; both beta bases; standard
